hostname,state,software,user_count,note_count,peer_count,discovered_at
mstdn.kessai-otaku.club,up,mastodon,31,16527,4324,1612578265
irrelevant.me.uk,up,mastodon,1,109,1572,1668551754
w.cx,up,mastodon,50,108,1,1650790328
public.mitra.social,up,mitra,11,19,473,1654264857
social.khazad.org,up,pleroma,1,62,462,1668180721
ieji.de,up,mastodon,6206,90674,18342,1612578267
social.smallint.net,up,pleroma,2,3,99,1638638928
pleroma.narrativerry.xyz,up,pleroma,2,2395,3320,1647213645
www.korrupt.biz,up,wordpress,9,1298,,1667752053
mastodon.oysta.au,up,mastodon,2,0,44,1668577389
merry.eu.org,up,writefreely,1,3,,1650991911
social.mildlyfunctional.gay,up,mastodon,2,55,3087,1661549311
wxcloud.social,up,mastodon,11,39,397,1668427043
yuustan.space,up,misskey,1,166,3529,1642934867
mastodon.vandegraaf.xyz,up,mastodon,1,1,565,1668285222
bruh.homd.xyz,up,pleroma,11,2823,4117,1648579537
twtr.carnivore.social,up,birdsitelive,803,0,,1625999720
social.koehler-klm.de,up,misskey,3,7,393,1660882858
social.dinn.ca,up,mastodon,1,171,2009,1668200216
tube.nah.re,up,peertube,3,281,,1612578266
social.twei7.com,up,mastodon,4,52,0,1612586174
mastodon.beatrice.wtf,up,mastodon,1,1,665,1654554027
mastodon.postmoderns.info,up,mastodon,4,1680,3427,1612578269
forestver.se,up,mastodon,1,2,44,1668366530
6502.town,up,pleroma,1,8,944,1662207634
otakufarms.com,up,pleroma,19,101,2025,1618197416
enby.town,up,gotosocial,2,52,63,1612578266
studiosabatino.it,up,writefreely,1,5,,1651243090
kiwi.fuo.fi,up,mastodon,7,446,2557,1651675513
mastodon.nerdlings.net,up,mastodon,3,168,1223,1667278488
mastodon.robertivanc.com,up,mastodon,1,34,2595,1668384981
contentnation.net,up,ContentNation,16,162,,1616881376
gts.u8.is,up,gotosocial,2,12681,619,1652619315
progressives.social,up,mastodon,24,1105,3585,1668114214
odenwald.social,up,mastodon,13,446,3924,1656567948
yawp.social,up,mastodon,1,0,4,1668707757
guglhupf.social,up,mastodon,4,16,481,1668487543
m.guya.ml,up,mastodon,1,0,0,1668818970
swop.social,up,pleroma,1,0,104,1667726348
mastodon.michelescandura.com,up,mastodon,1,0,3,1668070057
penguinproducer.com,up,wordpress,2,1,,1614165531
mastodon.davidciani.com,up,mastodon,1,19,1110,1667696614
mastodon.dbfmradio.org,up,mastodon,3,1,263,1668573580
fedi.love,up,writefreely,1,2,,1668254531
garro.moe,up,mastodon,9,106,1892,1668325335
social.flal.net,up,gotosocial,2,21,94,1665448111
on.nerdcultu.re,up,mastodon,1,31,155,1668342530
mcd.dk,up,mastodon,8,2239,7795,1614971422
lap.social,up,mastodon,1,39,1754,1667900530
fedigroup.artemai.art,up,GuppeGroups,0,,,1667949853
depixelated.com,up,mastodon,2,186,5441,1667787839
urhub.co,up,mastodon,2,15,68,1667253402
leifmetcalf.com,up,writefreely,1,4,,1614099543
blog.larand.net,up,writefreely,1,13,,1653847710
social.aliceice.de,up,pleroma,1,95,2825,1629105782
soc.conr.ca,up,mastodon,1,0,251,1668124746
ono-sendai.jevidl.net,up,mastodon,1,4,508,1668064184
neondemons.net,up,pleroma,1,0,306,1662659347
ding.so,up,mastodon,5,46,710,1667880800
unperson.us,up,mastodon,46,717,2030,1621651753
masto.glorious-space.eu,up,mastodon,5,308,3751,1667513754
col.social,up,mastodon,630,19987,4142,1667445601
sal.freyhult.net,up,mastodon,1,26,1278,1667769498
mastodon.puddle.farm,up,mastodon,1,6,3809,1667863313
ap.andz.me,up,gotosocial,1,2,12,1668606075
mastodon.isibboi.de,up,mastodon,1,116,1933,1668458395
mastodon.zoz-serv.org,up,mastodon,3,4660,1288,1614099543
openevents.nz,up,Mobilizon,9,15,,1638650704
social.e2ee.li,up,mastodon,2,0,385,1666833170
noot.noot.cloud,up,mastodon,3,18,1071,1666999724
social.laboratomium.de,up,mastodon,2,61,1568,1645362497
sgp.hostdon.ne.jp,up,mastodon,16,233,4351,1612578267
bestself.social,up,mastodon,9,31,630,1668230771
social.voidptr.org,up,pleroma,1,29,1524,1612578267
tux.social,up,mastodon,11,46,926,1668268618
patrick.social,up,mastodon,1,1,283,1668513491
mstdn.hiyuki2578.net,up,mastodon,9,60594,2144,1612578270
computer-club.online,up,mastodon,47,124,1484,1667905567
pinksheep.org,up,pleroma,26,196,3474,1667836889
intotheriff.com,up,mastodon,3,9,208,1641736581
m.nintendojo.fr,up,mastodon,10,15461,9535,1612578268
social.outsourcedmath.com,up,friendica,578,16509,11280,1612578267
3zi.ru,up,mastodon,2,3,677,1668673584
comedyclub.social,up,mastodon,1,3,274,1668427733
mastodon.room409.xyz,up,mastodon,3,149,3947,1650359682
sono.komun.org,up,funkwhale,2,,,1651400728
asmp.social,up,mastodon,2,17,312,1667634591
hedgehog.pub,up,mastodon,55,3573,6373,1612578267
scream.today,up,writefreely,166,219,,1612578270
mastodon.tetragir.com,up,mastodon,2,11,289,1668209471
photos.peacememori.es,up,pixelfed,2,23,2,1655083253
pleroma.foxden.party,up,pleroma,1,9,1020,1612578270
write.fimidi.com,up,writefreely,25,146,,1652298751
pleroma.stream,up,pleroma,1,1904,6306,1612578268
social.nahuelwexd.com,up,mastodon,1,265,3277,1650922068
pleroma.gronkiewicz.dev,up,pleroma,1,188,3860,1664286437
stream.cremple.ovh,up,,1,38,0,1646769086
blog.kicou.info,up,writefreely,1,18,,1612578346
social.hackerfraternity.org,up,mastodon,1,409,4273,1612578269
social.enovale.com,up,pleroma,1,36,4641,1657055952
gultsch.social,up,mastodon,1,54,1456,1667044068
aurochs.moosecow.net,up,mastodon,12,1326,3000,1648344396
stream.nuemedia.se,up,peertube,2,20,,1633273556
social.nocci.xyz,up,mastodon,1,132,1921,1643718078
stoneartprod.xyz,up,mastodon,3,28698,7894,1612578269
classe.iro.umontreal.ca,up,peertube,68,462,,1667265847
lawtalk.social,up,mastodon,1,60,2029,1667707767
mstdn.kapteinis.lv,up,mastodon,2,45,557,1668432319
social.restless.systems,up,mastodon,41,1137,3366,1667783307
kirche.social,up,mastodon,345,50142,11718,1612578269
mastodon.compositecomputer.club,up,mastodon,222,572265,3105,1612578269
noisy-lab.com,up,mastodon,3,1,105,1668826468
videos.alexandrebadalo.pt,up,peertube,2,245377,,1612578270
alttwitter.com,up,mastodon,11,60,691,1667280529
mastodon.nickmiller.dev,up,mastodon,1,1,1976,1667462682
toot.kobold.cafe,up,gotosocial,1,0,0,1668487543
peertube.histoirescrepues.fr,up,peertube,2,1,,1653229901
social.joncamfield.com,up,mastodon,1,116,575,1634403219
dat-a.com,up,mastodon,1,88,1193,1641611098
vanderwarker.photos,up,pixelfed,2,211,27,1612578267
theopjones.com,up,mastodon,1,15,1371,1648504298
norberteder.com,up,wordpress,1,434,,1659949802
mytoot.net,up,mastodon,5,554,4683,1612578266
mastodon.klein.tl,up,mastodon,1,30,2284,1668394065
mastodon.someotherguy.xyz,up,mastodon,2,911,7327,1623163419
zzzxxx.xyz,up,mastodon,1,125,897,1612578267
live.feather.onl,up,,1,5,0,1661416535
rinne.masto.host,up,mastodon,4,2528,1764,1633691445
thesnakepostoffice.online,up,mastodon,1,4158,5936,1612578267
iguana.masto.host,up,mastodon,3,26,40,1667698914
natsu.page,up,mastodon,1,3440,1929,1612578266
preke.no,up,mastodon,1,0,534,1668427733
guzmansocial.com,up,mastodon,4,7,164,1633817399
yharnam.singles,up,mastodon,2,242,4744,1667437019
mstdn.delmulin.com,up,mastodon,13,19760,3896,1615687747
social.kabi.tk,up,mastodon,10,61235,10769,1612578271
maennerplenum.eu,up,gotosocial,2,0,5,1667206438
openlogicproject.org,up,wordpress,4,79,,1667685989
mstdn.home.neso.tech,up,mastodon,6,78825,3769,1612578269
meow.lgbt,up,mastodon,31,329,4427,1667567993
vaughan.social,up,mastodon,2,25,1405,1653645206
dustbuster.club,up,mastodon,5,39,316,1668325335
mastodon.baucum.me,up,mastodon,1,463,5599,1612578266
live.commander1024.de,up,,1,2,0,1646955491
beginnerl.xyz,up,mastodon,3,5,1,1668597235
peertube.taxinachtegel.de,up,peertube,3,29638,,1612578346
mstdn.skullb0x.io,up,mastodon,2,25611,1116,1651281498
mast.mako.li,up,mastodon,2,1,1491,1667320015
masto.zapchenwellbeing.org,up,mastodon,1,4,188,1667137327
microbe.vital.org.nz,up,akkoma,1,18,1293,1668757982
birdsite.slashdev.space,up,birdsitelive,8412,0,,1612578348
social.alangraham.de,up,hubzilla,3,73,,1612578347
toot.community,up,mastodon,22393,158494,10291,1667465053
behind-the-screens.de,up,wordpress,11,84,,1667358742
tonybark.com,up,mastodon,2,1102,3597,1651768892
p.umbriel.fr,up,akkoma,5,67826,7496,1612578266
hannover.social,up,mastodon,18,545,2324,1641399943
gamemaking.social,up,mastodon,156,16046,12936,1612578270
social.netdc.ca,up,mastodon,3,34,8151,1612578270
txs.es,up,mastodon,41,533,2398,1612579380
peertube.hansen.agency,up,peertube,2,1,,1667949534
toot.haulo.fi,up,mastodon,1,6,195,1668384881
ru.relay.mentality.rip,up,activityrelay,1,0,,1618536336
polymorph.cool,up,wordpress,5,222,,1612578346
video.telemillevaches.net,up,peertube,20,38,,1638569924
f.kan.net.ee,up,friendica,0,0,0,1654135869
printer.aaronpk.tv,up,,1,1,0,1665916828
live.nanao.moe,up,peertube,2,123,,1616834522
video.fbxl.net,up,peertube,635,85850,,1612578267
cutieverse.social,up,pleroma,3,438,3693,1667983507
detmi.social,up,mastodon,9,9,160,1668785121
social.oupsman.fr,up,mastodon,3,14302,3043,1612578266
rebased.io,up,pleroma,2,228,2690,1667362327
mku.social,up,mastodon,13,15,0,1665256307
mastodon.8086.net,up,mastodon,2,1,43,1668427733
derper.space,up,pleroma,1,7,297,1651222159
xxhe.de,up,mastodon,1,10,547,1653522081
pleroma.ecliptik.com,up,pleroma,1,142,2159,1664445272
hubzillator.tk,up,hubzilla,2,0,,1658337071
megastyle.dev,up,mastodon,4,6,125,1668104401
haylandt.social,up,mastodon,4,37,1257,1668296264
yee.camp,up,mastodon,3,10,769,1667868221
qwq.ooo,up,mastodon,6,162,727,1656690417
mk.9mmtylenol.me,up,writefreely,1,4,,1650309770
dryad.gay,up,mastodon,3,23,2457,1667876243
cj.codes,up,mastodon,1,7,450,1668405466
feed.victor.earth,up,mastodon,1,32,4402,1667838367
tube.others.social,up,peertube,4,1956,,1612578347
pixelfed.hs-example.de,up,pixelfed,1,4,0,1667905567
mastodon.online,up,mastodon,164727,2498380,19734,1612578267
wig.gl,up,mastodon,2,14,292,1668840736
pleroma.isdruk.nl,up,pleroma,2,3,2,1666961968
udongein.xyz,up,pleroma,270,536186,13472,1612578267
cocoronavi.com,up,misskey,2,2208,2811,1612578268
audio.batato.be,up,funkwhale,6,,,1612578348
mxin.org,up,mastodon,6,63,1386,1612578270
mastodon.andr3w.net,up,mastodon,1,5,867,1668761096
thesenate.cc,up,mastodon,5,10167,4989,1612578268
pleroma-in.ouda.space,up,pleroma,2,9028,6967,1612578266
tbh.co-shaoghal.net,up,peertube,2,51,,1664621932
merveilles.town,up,hometown,602,379522,17473,1612578267
mastodon.teknorota.com,up,mastodon,2,0,1366,1667719607
toot.kennery.com,up,mastodon,1,22,1754,1668064184
coywolf.photos,up,pixelfed,1,10,26,1666683440
fulda.social,up,mastodon,783,34990,11380,1612578270
community.hackliberty.org,up,lemmy,77,238,,1659809762
toot.poedelwitz.de,up,mastodon,2,12,439,1668394065
rack.social,up,mastodon,8,12,1479,1667950047
irrsinn.video,up,peertube,3,12846,,1612578269
featherless.design,up,mastodon,1,14,345,1668245828
bbs.kawa-kun.com,up,pleroma,74,159309,11292,1612578271
social.mastodonsports.com,up,mastodon,2,29,211,1668378166
tv.duc.gay,up,,1,10,0,1668299223
www.unattributed.cc,up,wordpress,1,4,,1649241745
social.haja.nz,up,mastodon,1,2,541,1667267617
mast.codingjim.com,up,mastodon,3,7,235,1668427778
mastodon.neptunedev.us,up,mastodon,3,6,500,1616299684
blog.westsideblogger.eu,up,wordpress,1,71,,1667340493
agilist.social,up,mastodon,2,9,597,1668118718
test.mikecoats.social,up,microblogpub,1,2,,1667307555
edi.social,up,mastodon,11,561,4550,1651498077
akko.cuddlegirls.cafe,up,akkoma,4,3662,5654,1665822414
sidraco.in,up,pleroma,2,131,2152,1651598985
social.paladyn.org,up,pleroma,2,46,885,1624041344
peertube.hacknews.pmdcollab.org,up,peertube,2,793,,1647758237
velotastic.co.uk,up,wordpress,143,188,,1667961975
snaps.gallery,up,pixelfed,100,166,0,1612579014
kabuki.club,up,pleroma,5,1075,2936,1666832033
birb.space,up,misskey,92,17877,5267,1619888149
echolib.in,up,writefreely,1,21,,1612578345
mofu.kemo.no,up,mastodon,135,1398,5603,1612578267
anders.dev,up,writefreely,1,4,,1612579014
odakyu.app,up,mastodon,224,324548,8649,1612578269
social.juke.fr,up,pleroma,1,156,1533,1667198674
hell.social,up,misskey,3,952,6289,1612578271
videos.charla.mx,up,wordpress,1,453,,1659763731
hub.art3mis.de,up,hubzilla,75,6803,,1612578270
elephant.crime.group,up,mastodon,3,429,6586,1612578268
kvvpa.blog,up,writefreely,1,3,,1617067336
broadcast.looplab.net,up,mastodon,2,1,3818,1612578266
sculpin.social,up,mastodon,3,497,2141,1640914959
pl.pyrope.net,up,pleroma,1,67,467,1668257985
k4o2vok.i.maeul.company,up,mastodon,4,92,190,1639649494
everything.happens.horse,up,mastodon,23,1591,3280,1612578268
notnow.dev,up,pleroma,2,962,4035,1612578269
mastodon.garden,up,mastodon,12,103,2097,1667360699
weirdcatqueer.net,up,hometown,1,228,1504,1668300076
lightning.vodka,up,writefreely,2,4,,1649034901
pagansocial.net,up,mastodon,1,2,95,1668462140
stablegeniusliberal.com,up,wordpress,2,3183,,1668283624
p.bozolord.ml,up,pleroma,1,50,2206,1648313311
compostintraining.club,up,mastodon,2,20582,4959,1651004484
trolley.seattlebus.space,up,mastodon,2,10,374,1668757982
free.anticorrectiv.de,up,mastodon,3,96,1049,1668174327
dev-fedibird1.simkey.net,up,fedibird,1,1,1,1668101346
toot.thewalkingdeaf.net,up,mastodon,2,128,2847,1666971550
social.owlcode.tech,up,mastodon,1,249,4140,1661355265
mas.structuraltrauma.org,up,mastodon,3,6,426,1668072706
s.mikka.md,up,pleroma,1,354,4068,1666220006
masto.mtcrew.org,up,mastodon,8,202,2628,1612578270
mastodon.rickisen.com,up,mastodon,1,32,713,1612578268
scorpinc.social,up,mastodon,3,58,627,1668279134
lascapi.fr,up,wordpress,2,120,,1612582205
black.social,up,mastodon,47,146,146,1612578346
social.esmarconf.org,up,mastodon,50,129,1803,1667913874
gitea.fyrfli.io,up,gitea,1,6,,1668430612
