"","user_group","date","instance_count","instance_perc","user_sum","user_perc","post_sum","post_perc","post_ratio","instance_diff","user_diff","post_diff","post_ratio_diff"
"808","100-1000",2023-03-27,682,0.0542259680368927,225948,0.0317914585676031,75311771,0.119031940905165,333.314616637456,0,-372,245495,1.63259118676712
"809","1000-10000",2023-03-27,319,0.0253637592430627,994018,0.139860862067607,192208100,0.303789207143915,193.36480828315,2,5804,329826,-0.801914714095716
"810","10000+",2023-03-27,95,0.0075534706209748,5796222,0.815543184987826,323352025,0.511065117979572,55.7866874319169,0,6189,728755,0.0662329889110964
"811","0-1",2023-03-28,3510,0.279191854915686,3469,0.000488558244761906,2827062,0.00447214776135584,814.95012972038,1,0,1964,0.566157394061634
"812","1-10",2023-03-28,5996,0.476932866687878,23556,0.00331752032678336,9896092,0.0156546922861867,420.10918661912,-5,-10,-18546,-0.608712048451537
"813","10-100",2023-03-28,1973,0.156936048361438,63970,0.00900924500358004,29112803,0.0460537323777277,455.100875410349,2,1,22234,0.340460209235516
"814","100-1000",2023-03-28,683,0.0543270760419981,226363,0.0318799394520148,75354589,0.119203914347913,332.892694477454,1,415,42818,-0.421922160002055
"815","1000-10000",2023-03-28,315,0.0250556792873051,984372,0.13863449308526,191505376,0.302943599597748,194.545736774309,-4,-9646,-702724,1.18092849115908
"816","10000+",2023-03-28,95,0.0075564747056952,5798754,0.8166702438876,323452690,0.511671913629069,55.7796881881866,0,2532,100665,-0.00699924373022753
"817","0-1",2023-03-29,3498,0.278591908251035,3457,0.000487839021307713,2817189,0.00445430679477857,814.923054671681,-12,-12,-9873,-0.0270750486997713
"818","1-10",2023-03-29,5993,0.477301688435808,23542,0.00332215974533589,9904963,0.0156609102168617,420.735833828902,-3,-14,8871,0.62664720978114
"819","10-100",2023-03-29,1970,0.156897100987576,63870,0.00901309756752203,29138962,0.0460721223990987,456.222984186629,-3,-100,26159,1.12210877628053
"820","100-1000",2023-03-29,682,0.0543166613571201,224667,0.0317041739659069,75394968,0.119208302408718,335.585413078022,-1,-1696,40379,2.69271860056779
"821","1000-10000",2023-03-29,319,0.0254061803122013,991924,0.139976636786703,191832421,0.303309595600126,193.394273149959,4,7552,327045,-1.15146362434982
